Size,Random setup,Random Reconstruct,TA,C1,C2,Patrial Eval part 2 ,Anyone,Total
320,8.716079864825588e-06,7.953199747134932e-07,0.11641850557014549,0.07410564215002523,0.08150680636994366,0.0004436430399800884,0.014734568710009626,0.28767836371011074
384,8.920920008677057e-06,8.957299723988399e-07,0.08119993660980981,0.05078209724983026,0.06666451262997725,0.0005022570002256543,0.01650025111019204,0.21629725877020975
448,9.377290225529578e-06,9.051802044268698e-07,0.13535065563020907,0.08486463504988934,0.10379522641022049,0.000510943670051347,0.016126308209823036,0.3413165994096562
512,9.492469980614259e-06,8.859299123287201e-07,0.09029788720999932,0.05644030592004128,0.0801565350198507,0.0005321140299201943,0.01664620172985451,0.244817444450091
