Size,TA,C1,C2,Anyone,Total
1001,0.26387917143005324,0.06520030879008118,0.19062446660984278,0.0611065840399533,0.5811729074302275
1002,0.2629446147800263,0.06561879122007667,0.19079328910007462,0.061142594240154724,0.5808596438200402
1003,0.26273915943020254,0.06466043403004733,0.19197103965008863,0.061468075000120734,0.5811984630799634
1004,0.26409960973032864,0.06505002937996324,0.1933512135102501,0.062489489760046125,0.5853472538600545
1005,0.2621965542601538,0.06565810582000267,0.1939147157201296,0.06228038635013945,0.5844243920001463
1006,0.26627884951019953,0.06595697911005118,0.19508453639002254,0.06288676003001456,0.590577803560227
1007,0.2632496509401244,0.06573236579981312,0.19482318403992394,0.06242617104999226,0.5865907436298948
1008,0.22158418645012717,0.06589714350026042,0.1948700144299801,0.062441563460051835,0.5451577711298887
1009,0.22180593948014576,0.06601157210010569,0.19556139190008254,0.06312022316993535,0.5468581037997865
1010,0.22420514314002504,0.06587073566988692,0.19444161456001893,0.06283269498995651,0.547708195489904
1011,0.22447230894995301,0.06557990112971311,0.19508561677001127,0.06306079489997501,0.5485512525698869
1012,0.22645840697980021,0.06598112175015558,0.19611789836984828,0.06269098913006019,0.5516006320698943
1013,0.22555248646996914,0.0659073752000404,0.19618756284016853,0.06263443534000544,0.5506276504299603
1014,0.2253155741003502,0.06641997002989228,0.19705190643002424,0.06354221185989445,0.5526779756600445
1015,0.22745221361983567,0.0666207667096387,0.19566464666000682,0.06323668620996614,0.5533232554898859
1016,0.22988719261997176,0.06662536481988354,0.19675390502987283,0.0637896221099436,0.5574114563799958
1017,0.18222464783983014,0.06727551879008388,0.19756152651003503,0.0632604305201312,0.510669050270044
1018,0.1834312262299136,0.06658020604027115,0.1977751679301582,0.06387682169992331,0.5120143239698518
1019,0.18560461922017565,0.06688462878981227,0.19674878632013132,0.06347226705020148,0.5130589992699243
1020,0.1869839794397194,0.06674174998992384,0.19634205842998198,0.06307718761017896,0.5135162176498852
1021,0.18845446322997306,0.06678549113988992,0.19772120401983556,0.06403139789003034,0.5173705320100999
